Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Fermentum ,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Dance;Statistical Science,Finance;Greek;Italian Studies,Documentary Studies;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU;India,Technology / Software / IT;Construction,Personal growth and self-improvement,Performing Arts,9,7,9,1,3,6,8,6,0
Nec nulla ,testemail@qemailserver.com,Pratt,Junior,Middle Eastern;Native American or American Indian;Other,None,Art History;Biology;Classical Civilization,Asian American and Diaspora Studies,East Asian Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;UK;China,Journalism;Venture Capital,Skill development in a specific field;Networking and professional connections,Family Time,7,5,1,7,5,2,5,6,0
Tincidunt ,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Environmental Sciences and Policy,Computer Science;Mathematics;Musical Theater,Documentary Studies;Human Rights,JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MPP (Masters of Public Policy),Boston MA;EU,Healthcare;Politics / Government and public sector;Biotechnology,Networking and professional connections,Family Time;Outdoor Activities/Hiking/Camping;Music/Dance,9,1,10,5,1,8,9,0,0
Laoreet pl,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;White,None,Ancient Religion and Society;Economics;International Comparative Studies,Creative Writing;Medical Sociology,Aerospace Engineering;Human Rights;Islamic Studies,MD (Doctor of Medicine);MA (Master of Arts);MS (Master of Science);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Richmond VA,Marketing / Advertising,Work-life balance and time management,Pets;Reading;Performing Arts,5,4,4,7,4,6,6,7,0
Eu augue e,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Economics,Machine Learning and Artificial Intelligence;Medieval and Renaissance Studies;Political Science,Robotics and Automation,MA (Master of Arts);Psy.D (Doctor of Psychology);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Denver CO,Biotechnology,Career exploration and decision-making;Networking and professional connections,Movies/TV;Time with Friends,8,4,8,1,8,5,8,3,0
Fringilla ,testemail@qemailserver.com,Pratt,Sophomore,Middle Eastern,None,Environmental Engineering;Religious Studies,Chemistry;French Studies;Mathematics,None;Aerospace Engineering;Information Science and Information Studies,MD (Doctor of Medicine);MEM (Master of Engineering Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Southern California;Pacific Northwest/Seattle;EU,Education;Real estate,Career exploration and decision-making;Academic success and study skills;Personal growth and self-improvement,Gaming;Volunteering,6,9,9,10,6,9,5,9,0
Natoque im,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Ancient Religion and Society;Marine Science and Conservation;Medieval and Renaissance Studies,History,Information Science and Information Studies;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California,Medical;Food and beverage;Transportation and logistics,Skill development in a specific field;Academic success and study skills;Emotional support,Fitness;Gardening;Movies/TV,10,7,7,2,8,3,9,6,0
Scelerisqu,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern,None,Biology;Biomedical Engineering;Marine Science and Conservation,Energy Engineering;Visual and Media Studies,Digital Intelligence;Policy Journalism and Media Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California,Media Entertainment and Sports;Dentistry,Work-life balance and time management,Music/Dance,6,9,8,1,4,5,3,3,0
Tincidunt ,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Middle Eastern,None,Classical Civilization;English;Russian,Chemistry,Jewish Studies;Philosophy Politics and Economics,MeD (Master of Education);MEM (Master of Environmental Management);MM (Master in Management);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Washington DC,Energy and Utilities,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Performing Arts,6,3,7,8,9,3,8,9,0
Sit porta ,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Ancient Religion and Society;Global Health,None,Human Rights;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Denver CO,Finance / Investment / Banking;Non-Profit and Social Services;Research and Development,Skill development in a specific field;Academic success and study skills;Personal growth and self-improvement,Fishing/Hunting,7,5,4,3,2,9,5,3,0
Accusamus ,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Middle Eastern;White;Other,None,Art History;German;Romance Studies,Finance;German;Linguistics,Architectural Engineering;Health Policy;Sustainability Engagement,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Nashville TN,Journalism;Artificial Intelligence / Machine Learning / Data Science;Telecommunications,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Gaming;Outdoor Activities/Hiking/Camping,8,5,8,9,6,8,10,5,0
Fermentum ,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Middle Eastern;Prefer not to answer,None,History;Philosophy;Psychology,Art History;Italian Studies;Russian and East European Literatures in Translation,Human Rights;Science and the Public,JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA,Marketing / Advertising;Arts / Creative Industries;Environmental Science,Career exploration and decision-making,Cooking/Baking;Visual Arts/Crafts,3,9,8,8,2,9,6,3,0
Id augue l,testemail@qemailserver.com,Pratt,Junior,Hispanic or Latinx;Prefer not to answer,None,Evolutionary Anthropology,Economics;Sexuality Studies;Theater Studies,Health Policy;Jewish Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU,Food and beverage;Telecommunications;Academia / Higher Ed,Skill development in a specific field,Time with Friends,6,8,1,6,2,6,0,0,0
Elit matti,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Biophysics;Gender Sexuality and Feminist Studies;Undecided,Education;Medieval and Renaissance Studies;Spanish Studies,Materials Science and Engineering,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSW (Master of Social Work);MM (Master in Management),Northern California;Denver CO;UK,Retail and e-commerce;Agricultural and Food Science;Dentistry,Personal growth and self-improvement,Family Time;Pets,5,9,2,4,8,2,2,8,0
Wisi erat ,testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Marine Science and Conservation,Evolutionary Anthropology;Medieval and Renaissance Studies;Statistical Science,Health Policy,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU,Agricultural and Food Science;International Relations,Skill development in a specific field;Academic success and study skills,Fitness;Reading;Watching Sports,9,7,5,9,4,3,5,8,0
Interdum s,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Biophysics;Music;Statistical Science,Art History;Gender Sexuality and Feminist Studies;Global Cultural Studies,Human Rights;Information Science and Information Studies;Jewish Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MeD (Master of Education);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),New York City/Tri-State area;Pacific Northwest/Seattle;EU,Aerospace and Defense,Skill development in a specific field,Gardening;Athletics/Playing Sports;Music/Dance,7,1,8,7,7,2,5,10,0
Tortor dol,testemail@qemailserver.com,Pratt,Sophomore,Other,None,Biophysics;Earth and Climate Sciences;Medieval and Renaissance Studies,Energy Engineering;Latin;Musical Theater,East Asian Studies;Sustainability Engagement,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration),Washington DC;UK;China,Fashion and Apparel;Pharmaceutical,Emotional support,Gardening,8,2,9,2,7,2,7,6,0
Nonummy pr,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;White;Prefer not to answer,None,Evolutionary Anthropology;Neuroscience;Public Policy Studies,Religious Studies,Documentary Studies;Human Rights,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Boston MA;Baltimore MD,Finance / Investment / Banking;Product / Product Management / UX Design;Veterinary Medicine,Work-life balance and time management,Outdoor Activities/Hiking/Camping;Visual Arts/Crafts;Performing Arts,6,1,6,2,5,5,7,3,0
Duis. Et p,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;White;Other,None,Linguistics,African and African American Studies;Greek;Machine Learning and Artificial Intelligence,Child Policy Research;Materials Science and Engineering,PhD (Doctor of Philosophy);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle,Nursing;Aerospace and Defense,Career exploration and decision-making;Skill development in a specific field;Work-life balance and time management,Family Time;Traveling;Watching Sports,9,2,9,3,1,0,7,0,0
Bibendum q,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other,None,Ancient Religion and Society;Electrical and Computer Engineering;Environmental Engineering,Classical Civilization;Economics,Robotics and Automation,MM (Master in Management),Richmond VA;India,Product / Product Management / UX Design;Architecture and Design;Religion,Career exploration and decision-making;Work-life balance and time management,Family Time;Movies/TV;Time with Friends,6,8,9,0,1,8,7,5,0
Ipsum just,testemail@qemailserver.com,Trinity,Senior,Middle Eastern,None,Romance Studies;Russian,Musical Theater;Photography,Global Development Engineering;Philosophy Politics and Economics,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MPA (Master of Public Administration);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill,Education;Veterinary Medicine,Work-life balance and time management;Emotional support,Athletics/Playing Sports,6,2,7,0,10,8,6,7,0
Eget! Maec,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Public Policy Studies,French Studies;Italian Studies;Spanish Studies,Innovation and Entrepreneurship;Latinx Studies in the Global South,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Denver CO;Miami/Central Florida/Tampa Bay,Retail and e-commerce,Skill development in a specific field;Academic success and study skills;Emotional support,Outdoor Activities/Hiking/Camping,6,7,4,6,3,6,6,4,0
Maecenas u,testemail@qemailserver.com,Trinity,Sophomore,Other,None,Classical Civilization;French Studies,English;Physics,Latinx Studies in the Global South,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Miami/Central Florida/Tampa Bay,Fashion and Apparel;STEM;Veterinary Medicine,Career exploration and decision-making;Academic success and study skills;Work-life balance and time management,Pets;Music/Dance;Watching Sports,9,9,2,3,4,8,8,8,0
Eu tincidu,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx,None,Global Health;Linguistics and Computer Science,Creative Writing;Economics,Jewish Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Manufacturing and engineering,Career exploration and decision-making;Networking and professional connections;Work-life balance and time management,Fishing/Hunting,6,2,8,9,7,1,5,9,0
A lorem! L,testemail@qemailserver.com,Trinity,Senior,Middle Eastern,None,Dance,Brazilian and Global Portuguese Studies;Global Cultural Studies,Architectural Engineering;Latinx Studies in the Global South;Science and the Public,MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),India,Non-Profit and Social Services;Biotechnology;Agricultural and Food Science,Work-life balance and time management;Emotional support,Movies/TV,5,6,6,4,7,3,4,7,0
Sagittis b,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Hispanic or Latinx;Other,None,Visual Arts,Theater Studies,Energy and the Environment;Philosophy Politics and Economics;Robotics and Automation,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Pacific Northwest/Seattle;Baltimore MD,Consulting and professional services;Transportation and logistics;Physical Therapy,Personal growth and self-improvement,Traveling,3,6,5,9,4,6,0,8,0
Arcu fauci,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Earth and Climate Sciences,Electrical and Computer Engineering,Documentary Studies;Ethics and Society,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management),Miami/Central Florida/Tampa Bay,Accounting,Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping,0,5,1,8,10,3,6,9,0
Gravida ve,testemail@qemailserver.com,Pratt,Junior,Prefer not to answer,None,Gender Sexuality and Feminist Studies;Interdisciplinary Engineering and Applied Science (IDEAS);Russian,Psychology,Digital Intelligence;Information Science and Information Studies;Markets and Management,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Charlotte NC;Denver CO;China,Technology / Software / IT;Education;Food and beverage,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Reading,7,3,7,9,7,6,3,9,0
Nonummy ve,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx,None,Earth and Climate Sciences;Spanish Latin American and Latinx Studies,Education;Energy Engineering;Philosophy,Architectural Engineering;Materials Science and Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle,Media Entertainment and Sports,Skill development in a specific field;Academic success and study skills,Fashion;Volunteering,1,7,10,9,6,3,8,1,0
At lectus ,testemail@qemailserver.com,Trinity,Senior,Black or African-American;Middle Eastern;Other,None,Brazilian and Global Portuguese Studies;Visual Arts,Gender Sexuality and Feminist Studies,None,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Denver CO;Baltimore MD,Fashion and Apparel;Military,Career exploration and decision-making;Academic success and study skills,Watching Sports;Movies/TV,8,6,9,7,5,1,7,7,0
Scelerisqu,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Earth and Climate Sciences,Medical Sociology;Philosophy,Digital Intelligence;Documentary Studies;Human Rights,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Boston MA,Healthcare;Construction;Agricultural and Food Science,Academic success and study skills,Visual Arts/Crafts;Volunteering,5,4,2,7,2,1,5,9,0
Dignissim?,testemail@qemailserver.com,Pratt,Sophomore,White,None,Marine Science and Conservation;Statistical Science,Cinematic Arts;French Studies;Religious Studies,Ethics and Society,MS (Master of Science);MEM (Master of Environmental Management),I don't know/Skip this question;Nashville TN,Accounting,Skill development in a specific field,Cooking/Baking;Fitness;Visual Arts/Crafts,4,1,3,6,8,8,10,4,0
Metus. Acc,testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other,None,Art History and Visual Arts,Gender Sexuality and Feminist Studies;Medieval and Renaissance Studies,None,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Houston/Dallas/Austin;EU,Law / Legal Services,Academic success and study skills;Emotional support,Visual Arts/Crafts;Performing Arts;Fishing/Hunting,3,9,9,1,2,2,10,7,0
Sollicitud,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx;Prefer not to answer,None,Public Policy Studies,French Studies,Child Policy Research,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA,Real estate,Career exploration and decision-making,Watching Sports,6,2,8,8,1,8,9,0,0
Nunc leo. ,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other,None,Computational Media,Finance,Architectural Engineering;Documentary Studies,MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MM (Master in Management),Raleigh/Durham/Chapel Hill;Southern California;Philadelphia and mid/southern NJ,Nursing;Arts / Creative Industries;Non-Profit and Social Services,Skill development in a specific field;Personal growth and self-improvement,Family Time;Time with Friends,10,6,2,6,5,8,9,4,0
Purus nequ,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Slavic and Eurasian Studies,Electrical and Computer Engineering;Machine Learning and Artificial Intelligence;Mathematics,Decision Sciences;Ethics and Society;Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;China;India,Non-Profit and Social Services,Academic success and study skills,Volunteering;Movies/TV,4,7,10,5,1,5,1,6,0
