Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
"Placerat? ",testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;Other,None,Music,Dance;Finance;Physics,Human Rights;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Non-Profit and Social Services;Fashion and Apparel,Networking and professional connections;Academic success and study skills,Cooking/Baking;Music/Dance,2,8,10,2,7,9,8,7,0
"Facilisi; ",testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Visual and Media Studies,Linguistics;Sociology,Architectural Engineering;Ethics and Society;Policy Journalism and Media Studies,JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MHA (Master of Healthcare Administration);MM (Master in Management),Pacific Northwest/Seattle;UK,STEM;Dentistry,Career exploration and decision-making;Academic success and study skills;Emotional support,Visual Arts/Crafts,5,5,1,7,2,0,10,6,0
Ut metus i,testemail@qemailserver.com,Trinity,Senior,Black or African-American;White;Prefer not to answer,None,Religious Studies,Greek;Mathematics;Visual and Media Studies,Child Policy Research,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill,Non-Profit and Social Services;Transportation and logistics;Product / Product Management / UX Design,Personal growth and self-improvement;Work-life balance and time management,Outdoor Activities/Hiking/Camping;Traveling,10,8,6,4,1,2,9,9,0
Lacus ultr,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Native American or American Indian,None,Ancient Religion and Society;Visual Arts;Undecided,French Studies,None;Decision Sciences;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Washington DC;Baltimore MD,Real estate;Media Entertainment and Sports,Networking and professional connections;Academic success and study skills;Emotional support,Reading,8,6,6,10,9,1,5,4,0
"Vel eget? ",testemail@qemailserver.com,Trinity,Senior,Middle Eastern;Other,None,Biomedical Engineering;Economics,Asian and Middle Eastern Studies,East Asian Studies;Jewish Studies,None / Not listed;MBA (Masters of Business Administration);MS (Master of Science);MeD (Master of Education);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Chicago IL;Pacific Northwest/Seattle,Fashion and Apparel;Private Equity;Military,Networking and professional connections;Academic success and study skills,Movies/TV;Fishing/Hunting,4,6,3,4,5,3,3,3,0
Fusce dapi,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Native American or American Indian;White;Other,None,Cultural Anthropology;Environmental Engineering;Psychology,Classical Civilization;English;Music,Decision Sciences;Jewish Studies;Latinx Studies in the Global South,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Pacific Northwest/Seattle,Non-Profit and Social Services;Hospitality and Tourism;Academia / Higher Ed,Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping;Traveling;Watching Sports,7,7,0,8,1,2,1,2,0
"Vehicula; ",testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Prefer not to answer,None,Art History;Computer Science;Sociology,Medical Sociology;Statistical Science,Documentary Studies,None / Not listed;MFA (Master of Fine Arts);MS (Master of Science);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;EU,Aerospace and Defense;Environmental Science,Skill development in a specific field,Fishing/Hunting,5,1,10,7,6,6,8,8,0
Ac ridicul,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Biomedical Engineering;Global Health,Machine Learning and Artificial Intelligence,Jewish Studies;Materials Science and Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC,Hospitality and Tourism;Telecommunications,Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping;Athletics/Playing Sports;Movies/TV,3,6,8,5,6,7,6,2,0
Nunc tempo,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Classical Civilization,Visual Arts;Visual and Media Studies,Decision Sciences;Documentary Studies;Health Policy,MA (Master of Arts);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration);MEng (Master of Engineering),New York City/Tri-State area;Miami/Central Florida/Tampa Bay,Telecommunications,Work-life balance and time management,Outdoor Activities/Hiking/Camping;Traveling;Visual Arts/Crafts,2,9,8,3,4,2,1,7,0
Natoque so,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Native American or American Indian;White;Other;Prefer not to answer,None,Ancient Religion and Society;Mathematics,Biology;Environmental Sciences and Policy;Gender Sexuality and Feminist Studies,Child Policy Research;Energy and the Environment,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Southern California,Law / Legal Services;Pharmaceutical;Physical Therapy,Academic success and study skills;Emotional support,Athletics/Playing Sports;Visual Arts/Crafts,3,10,9,4,6,2,9,1,0
Metus vene,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Computational Media;French Studies;History,Machine Learning and Artificial Intelligence;Music;Philosophy,Decision Sciences,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),I don't know/Skip this question;New York City/Tri-State area;Richmond VA,Construction;Food and beverage,Personal growth and self-improvement,Fashion;Performing Arts,1,8,9,5,7,5,1,7,0
"Rutrum in ",testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander,None,Medieval and Renaissance Studies;Visual and Media Studies,Computational Media,Information Science and Information Studies;Jewish Studies;Robotics and Automation,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy),Philadelphia and mid/southern NJ;Pacific Northwest/Seattle;India,Marketing / Advertising;Physical Therapy,Career exploration and decision-making;Skill development in a specific field,Gardening;Music/Dance,8,5,1,1,1,8,7,5,0
Turpis nul,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Prefer not to answer,None,Music,Linguistics,Ethics and Society;Global Development Engineering;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Philadelphia and mid/southern NJ;Richmond VA,Journalism;Artificial Intelligence / Machine Learning / Data Science,Emotional support,Traveling;Movies/TV,6,9,9,0,9,2,8,3,0
Praesent m,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,African and African American Studies;English;Undecided,Marine Science and Conservation,Markets and Management,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Biotechnology;Venture Capital,Skill development in a specific field;Personal growth and self-improvement,Athletics/Playing Sports;Visual Arts/Crafts;Movies/TV,5,7,7,2,4,8,3,4,0
Egestas ru,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Classical Languages;Russian,Latin;Music,Child Policy Research;Human Rights,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work),Chicago IL;Houston/Dallas/Austin,Journalism,Personal growth and self-improvement,Gaming,0,10,8,8,8,3,4,3,0
Vulputate.,testemail@qemailserver.com,Pratt,Sophomore,Other,None,Economics;Medieval and Renaissance Studies,Sociology,Global Development Engineering;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN;Miami/Central Florida/Tampa Bay;EU,Telecommunications;Private Equity,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Fashion;Gaming;Fishing/Hunting,8,6,7,9,10,3,5,9,0
Laoreet nu,testemail@qemailserver.com,Pratt,Sophomore,Middle Eastern,None,Visual Arts,Economics,Documentary Studies,JD (Juris Doctorate/Law);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health),Washington DC;Philadelphia and mid/southern NJ;Miami/Central Florida/Tampa Bay,Medical;Education,Work-life balance and time management,Outdoor Activities/Hiking/Camping,8,10,5,4,3,4,3,2,0
Pretium! E,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;White;Prefer not to answer,None,Computer Science;Marine Science and Conservation,None;Computer Science;Statistical Science,Architectural Engineering,MA (Master of Arts);MS (Master of Science);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration),I don't know/Skip this question;Chicago IL;EU,Construction,Networking and professional connections;Work-life balance and time management,Pets,1,3,2,7,9,2,1,1,0
Tortor gra,testemail@qemailserver.com,Trinity,Senior,White;Prefer not to answer,None,Classical Languages;Public Policy Studies,Classical Archaeology;Cultural Anthropology;Russian and East European Literatures in Translation,East Asian Studies;Latin American Studies,PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPH (Master of Public Health),Denver CO;UK,Research and Development,Academic success and study skills;Personal growth and self-improvement,Fashion;Performing Arts,9,10,0,9,6,9,8,3,0
Sodales ma,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Middle Eastern;Native American or American Indian,None,Gender Sexuality and Feminist Studies;Theater Studies,Computational Media;Neuroscience;Philosophy,Child Policy Research;Digital Intelligence,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Houston/Dallas/Austin,Venture Capital,Personal growth and self-improvement,Visual Arts/Crafts,4,7,5,8,6,1,3,8,0
Montes. Vi,testemail@qemailserver.com,Pratt,Sophomore,Middle Eastern,None,Ancient Religion and Society;Public Policy Studies,Earth and Climate Sciences;Greek,Health Policy;Jewish Studies;Markets and Management,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MeD (Master of Education);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health),Washington DC;Miami/Central Florida/Tampa Bay,Nursing;Media Entertainment and Sports;Research and Development,Work-life balance and time management,Fitness;Gardening;Traveling,1,8,7,1,8,10,6,10,0
Euismod tu,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Art History and Visual Arts;French Studies,Earth and Climate Sciences;Education,Materials Science and Engineering;Policy Journalism and Media Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Atlanta GA;Southern California,Consulting and professional services,Networking and professional connections,Gardening;Outdoor Activities/Hiking/Camping;Watching Sports,6,10,9,2,5,5,1,6,0
Placerat f,testemail@qemailserver.com,Pratt,Junior,Hispanic or Latinx;Native American or American Indian;White;Prefer not to answer,None,Biomedical Engineering;Music;Religious Studies,Marine Science and Conservation,Information Science and Information Studies;Philosophy Politics and Economics,JD (Juris Doctorate/Law);MFA (Master of Fine Arts),Boston MA;Denver CO;Miami/Central Florida/Tampa Bay,Education,Career exploration and decision-making;Academic success and study skills;Personal growth and self-improvement,Gaming;Music/Dance,5,1,10,0,1,4,10,5,0
"Tincidunt ",testemail@qemailserver.com,Trinity,Senior,Black or African-American;Middle Eastern;Native American or American Indian;Other,None,Gender Sexuality and Feminist Studies;Psychology,Computational Media;Gender Sexuality and Feminist Studies,Ethics and Society,MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),India,Education;Manufacturing and engineering;Food and beverage,Skill development in a specific field;Personal growth and self-improvement,Visual Arts/Crafts;Music/Dance;Time with Friends,6,8,5,3,0,8,9,9,0
"Eleifend. ",testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other,None,Brazilian and Global Portuguese Studies,Mathematics;Statistical Science,Latin American Studies;Philosophy Politics and Economics,MEM (Master of Engineering Management);MEM (Master of Environmental Management);MM (Master in Management);MEng (Master of Engineering),Chicago IL,Law / Legal Services;Hospitality and Tourism;Telecommunications,Career exploration and decision-making;Personal growth and self-improvement;Work-life balance and time management,Outdoor Activities/Hiking/Camping,1,4,2,10,9,7,9,2,0
Platea. Ma,testemail@qemailserver.com,Pratt,Junior,Hispanic or Latinx;White;Other,None,Chemistry;Slavic and Eurasian Studies,Energy Engineering,Policy Journalism and Media Studies,MPP (Masters of Public Policy);MPH (Master of Public Health),I don't know/Skip this question;New York City/Tri-State area,Research and Development;Architecture and Design,Networking and professional connections;Personal growth and self-improvement;Emotional support,Visual Arts/Crafts,3,2,1,2,0,5,3,2,0
Atque frin,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Art History and Visual Arts;German;Medieval and Renaissance Studies,Russian Culture and Language,Energy and the Environment;Islamic Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Northern California;Charlotte NC,Artificial Intelligence / Machine Learning / Data Science;Veterinary Medicine,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Gardening,4,8,9,9,2,6,2,3,0
Aenean. Du,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Other;Prefer not to answer,None,Biomedical Engineering,Global Cultural Studies;Latin,Architectural Engineering;Decision Sciences;Human Rights,JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Boston MA,Finance / Investment / Banking;Arts / Creative Industries,Personal growth and self-improvement;Emotional support,Cooking/Baking;Outdoor Activities/Hiking/Camping;Volunteering,3,8,1,8,5,4,4,4,0
Interdum m,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences and Policy,Art History;Finance,Architectural Engineering;Digital Intelligence;Innovation and Entrepreneurship,MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Boston MA;Baltimore MD,Retail and e-commerce,Academic success and study skills;Emotional support,Cooking/Baking;Volunteering;Fishing/Hunting,5,4,6,6,4,3,4,2,0
Elementum;,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx,None,Classical Civilization;History,Visual Arts,Decision Sciences;Materials Science and Engineering;Science and the Public,None / Not listed;MD (Doctor of Medicine);MFA (Master of Fine Arts);MeD (Master of Education);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC;Richmond VA,STEM,Personal growth and self-improvement;Work-life balance and time management;Emotional support,Fishing/Hunting,2,1,8,0,3,5,4,2,0
Eleifend p,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,History;Interdisciplinary Engineering and Applied Science (IDEAS);Religious Studies,African and African American Studies;Dance;Machine Learning and Artificial Intelligence,Information Science and Information Studies,None / Not listed;PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MHA (Master of Healthcare Administration);MM (Master in Management),Southern California;Philadelphia and mid/southern NJ;India,Hospitality and Tourism;Food and beverage;Physical Therapy,Networking and professional connections,Pets;Volunteering;Music/Dance,8,6,7,6,5,6,8,0,0
Placerat t,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;White;Prefer not to answer,None,Chemistry;Physics;Theater Studies,Energy Engineering;Evolutionary Anthropology;Statistical Science,Ethics and Society;Latin American Studies;Philosophy Politics and Economics,None / Not listed;JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Miami/Central Florida/Tampa Bay;EU;India,Agricultural and Food Science,Emotional support,Pets;Athletics/Playing Sports;Movies/TV,6,4,9,6,3,1,5,8,0
Felis a en,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx;White,None,Biomedical Engineering;Classical Civilization;Medieval and Renaissance Studies,Electrical and Computer Engineering;Global Cultural Studies;Russian and East European Literatures in Translation,Health Policy,MPA (Master of Public Administration),Philadelphia and mid/southern NJ;Houston/Dallas/Austin,Law / Legal Services,Networking and professional connections;Academic success and study skills;Emotional support,Family Time;Pets,2,5,1,6,2,4,1,7,0
Nunc et cu,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Middle Eastern,None,Neuroscience;Spanish Latin American and Latinx Studies,Evolutionary Anthropology;Physics;Visual Arts,Architectural Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL,Telecommunications;Accounting,Skill development in a specific field;Personal growth and self-improvement,Family Time;Pets,10,9,5,5,7,1,7,10,0
"Imperdiet ",testemail@qemailserver.com,Pratt,Junior,Black or African-American,None,Dance;Romance Studies,Cultural Anthropology;Energy Engineering;Music,Materials Science and Engineering,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),I don't know/Skip this question;Pacific Northwest/Seattle;Richmond VA,Manufacturing and engineering,Career exploration and decision-making;Skill development in a specific field;Academic success and study skills,Athletics/Playing Sports;Traveling,3,6,3,4,9,0,10,10,0
Molestie p,testemail@qemailserver.com,Pratt,Junior,Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,African and African American Studies;Evolutionary Anthropology;Medieval and Renaissance Studies,Cinematic Arts;Computational Media;Global Cultural Studies,Architectural Engineering;Latinx Studies in the Global South,MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Boston MA;Nashville TN,Non-Profit and Social Services;International Relations,Networking and professional connections;Academic success and study skills;Personal growth and self-improvement,Fitness;Volunteering;Movies/TV,8,9,3,4,2,6,3,1,0
